domain,prompt_idx,layer_idx,strength,seed,baseline_correct,perturbed_correct,flip,edit_distance,baseline_entropy,perturbed_entropy,baseline_margin,perturbed_margin,kl_divergence,model,paradigm,n_layers,layer_frac
math,14,2,0.01,137,False,False,False,0.0,2.6435818672180176,2.8125295639038086,2.0625,1.75,0.0131694255396723,Qwen3-0.6B,transformer,28,0.074074074074074
math,15,2,0.01,137,True,True,False,0.0,1.7657617330551147,1.8306565284729004,2.8125,2.5,0.0057261497713625,Qwen3-0.6B,transformer,28,0.074074074074074
math,16,2,0.01,137,False,False,False,0.0,1.5630227327346802,1.72394859790802,3.0625,2.8125,0.0056225378066301,Qwen3-0.6B,transformer,28,0.074074074074074
math,17,2,0.01,137,False,False,False,0.0,2.4000062942504883,2.076993942260742,2.8125,3.0625,0.0140686528757214,Qwen3-0.6B,transformer,28,0.074074074074074
math,18,2,0.01,137,True,False,True,0.55,1.539995551109314,1.6181936264038086,3.25,2.875,0.0049122041091322,Qwen3-0.6B,transformer,28,0.074074074074074
math,19,2,0.01,137,False,False,False,0.0,2.6934680938720703,2.7931504249572754,1.75,1.625,0.0075120227411389,Qwen3-0.6B,transformer,28,0.074074074074074
math,20,2,0.01,137,True,True,False,0.0,1.5465385913848877,1.6903985738754272,3.3125,2.9375,0.005801229737699,Qwen3-0.6B,transformer,28,0.074074074074074
math,21,2,0.01,137,False,False,False,0.0,1.8663634061813357,1.955591082572937,2.5,2.375,0.0041435207240283,Qwen3-0.6B,transformer,28,0.074074074074074
math,22,2,0.01,137,False,False,False,0.0,1.6358188390731812,1.5649652481079102,3.25,3.375,0.0029803924262523,Qwen3-0.6B,transformer,28,0.074074074074074
math,23,2,0.01,137,True,False,True,0.55,1.583737015724182,1.6231366395950315,2.9375,2.75,0.0033302824012935,Qwen3-0.6B,transformer,28,0.074074074074074
factual,0,2,0.01,137,False,True,True,0.9069767441860463,4.178260803222656,4.112266540527344,0.0625,0.375,0.0113275060430169,Qwen3-0.6B,transformer,28,0.074074074074074
factual,1,2,0.01,137,True,True,False,0.0,0.7249804735183716,0.8224247694015503,2.5,2.25,0.0033555522095412,Qwen3-0.6B,transformer,28,0.074074074074074
factual,2,2,0.01,137,True,True,False,0.0,3.187028408050537,3.0923430919647217,1.125,1.375,0.0055150147527456,Qwen3-0.6B,transformer,28,0.074074074074074
factual,3,2,0.01,137,False,False,False,0.0,3.6098031997680655,3.5653269290924072,0.5625,0.5,0.0036348551511764,Qwen3-0.6B,transformer,28,0.074074074074074
factual,4,2,0.01,137,False,False,False,0.0,0.4363479316234588,0.4306174218654632,2.375,2.5,0.0009440423455089,Qwen3-0.6B,transformer,28,0.074074074074074
factual,5,2,0.01,137,True,True,True,0.1,2.9214439392089844,3.1406807899475098,1.25,0.75,0.0280442759394645,Qwen3-0.6B,transformer,28,0.074074074074074
factual,6,2,0.01,137,False,False,True,0.5294117647058824,2.520190954208374,2.581615209579468,0.625,0.875,0.0085185030475258,Qwen3-0.6B,transformer,28,0.074074074074074
factual,7,2,0.01,137,True,True,False,0.0,1.08525550365448,1.2276813983917236,3.25,2.75,0.0084532778710126,Qwen3-0.6B,transformer,28,0.074074074074074
factual,8,2,0.01,137,True,True,False,0.0,0.4281344413757324,0.4872636198997497,4.25,3.875,0.0021824776194989,Qwen3-0.6B,transformer,28,0.074074074074074
factual,9,2,0.01,137,True,True,False,0.0,0.5116786360740662,0.497457355260849,3.75,3.75,0.0008253270643763,Qwen3-0.6B,transformer,28,0.074074074074074
factual,10,2,0.01,137,True,True,False,0.0,0.4718857109546661,0.4975253343582153,3.25,3.125,0.000555065984372,Qwen3-0.6B,transformer,28,0.074074074074074
factual,11,2,0.01,137,True,True,False,0.0,0.0200666580349206,0.0218658000230789,7.75,7.75,4.922352309222333e-05,Qwen3-0.6B,transformer,28,0.074074074074074
factual,12,2,0.01,137,False,False,True,0.1956521739130435,4.563624858856201,4.758991241455078,0.25,0.3125,0.015341910533607,Qwen3-0.6B,transformer,28,0.074074074074074
factual,13,2,0.01,137,False,False,False,0.0,5.635599136352539,5.672425746917725,0.5,0.5,0.004249507561326,Qwen3-0.6B,transformer,28,0.074074074074074
factual,14,2,0.01,137,True,True,False,0.0,2.9557738304138184,2.881219387054444,0.75,0.875,0.0038847078103572,Qwen3-0.6B,transformer,28,0.074074074074074
factual,15,2,0.01,137,False,False,False,0.0,2.599925756454468,2.548200845718384,1.875,2.0,0.0031962781213223,Qwen3-0.6B,transformer,28,0.074074074074074
factual,16,2,0.01,137,True,True,False,0.0,3.79303765296936,3.773025512695313,1.0625,1.0,0.0051041054539382,Qwen3-0.6B,transformer,28,0.074074074074074
factual,17,2,0.01,137,True,True,True,0.5714285714285714,0.8057312965393066,0.8259563446044922,2.125,2.125,0.0015835763188079,Qwen3-0.6B,transformer,28,0.074074074074074
factual,18,2,0.01,137,True,True,False,0.0,2.802187442779541,2.7133805751800537,1.875,1.9375,0.0031177587807178,Qwen3-0.6B,transformer,28,0.074074074074074
factual,19,2,0.01,137,True,True,False,0.0,0.828798234462738,0.8498054146766663,3.8125,3.8125,0.0006091629620641,Qwen3-0.6B,transformer,28,0.074074074074074
factual,20,2,0.01,137,True,True,False,0.0,0.5778858661651611,0.6256608963012695,3.375,3.125,0.001887037535198,Qwen3-0.6B,transformer,28,0.074074074074074
factual,21,2,0.01,137,False,False,False,0.0,4.222599983215332,4.259891033172607,0.0,0.0,0.0070030414499342,Qwen3-0.6B,transformer,28,0.074074074074074
factual,22,2,0.01,137,True,True,False,0.0,0.7830369472503662,0.7368726134300232,1.625,1.75,0.0012660990469157,Qwen3-0.6B,transformer,28,0.074074074074074
