model,paradigm,layer_idx,strength,domain,accuracy,flip_rate,mean_edit_distance,mean_kl_divergence,mean_entropy,mean_margin,n_prompts
DSR1-1.5B,reasoning,6,0.01,factual,0.6666666666666666,0.16666666666666666,0.08545475088810507,0.0018559166608369537,2.137292016802045,2.0078125,24
DSR1-1.5B,reasoning,6,0.01,math,0.0,0.16666666666666666,0.061390317628282974,0.0025970408654150865,3.1019544204076133,0.3854166666666667,24
DSR1-1.5B,reasoning,6,0.1,factual,0.5833333333333334,0.9166666666666666,0.45378219577770196,0.10469317396291444,2.2590432002131515,1.859375,24
DSR1-1.5B,reasoning,6,0.1,math,0.0,0.7083333333333334,0.39833181854603555,0.13305371906608343,3.3393408159414926,0.6432291666666666,24
DSR1-1.5B,reasoning,6,0.5,factual,0.4166666666666667,1.0,0.6746945049848311,2.4007761596391597,3.0228249207139015,1.3541666666666667,24
DSR1-1.5B,reasoning,6,0.5,math,0.125,1.0,0.9130377533678349,2.790840824445089,3.8835156659285226,0.7057291666666666,24
DSR1-1.5B,reasoning,13,0.01,factual,0.6666666666666666,0.125,0.0578525641025641,0.0014969219397471534,2.1399315614253283,2.0,24
DSR1-1.5B,reasoning,13,0.01,math,0.0,0.125,0.02983239348370927,0.002376210890361108,3.1469667057196298,0.40625,24
DSR1-1.5B,reasoning,13,0.1,factual,0.5833333333333334,0.7916666666666666,0.4686580751082093,0.08012492568195739,2.2601013019060097,1.828125,24
DSR1-1.5B,reasoning,13,0.1,math,0.0,0.5416666666666666,0.274378474843815,0.16212709279110035,3.6701880594094596,0.4895833333333333,24
DSR1-1.5B,reasoning,13,0.5,factual,0.2916666666666667,1.0,0.7192934662780969,2.160605724900961,3.4970348924398422,0.8880208333333334,24
DSR1-1.5B,reasoning,13,0.5,math,0.0,1.0,0.8862540664958605,3.085063944260279,4.148023068904877,0.9635416666666666,24
DSR1-1.5B,reasoning,20,0.01,factual,0.6666666666666666,0.125,0.0824778058820612,0.0009775769491208546,2.1219192523664483,2.0338541666666665,24
DSR1-1.5B,reasoning,20,0.01,math,0.0,0.125,0.030822772657450075,0.0009826507169539884,3.085379938284556,0.3984375,24
DSR1-1.5B,reasoning,20,0.1,factual,0.5833333333333334,0.5833333333333334,0.2854655565761074,0.041431562243057364,2.1615660310878106,2.0078125,24
DSR1-1.5B,reasoning,20,0.1,math,0.0,0.75,0.42275214492364177,0.039509254430110254,3.202014684677124,0.421875,24
DSR1-1.5B,reasoning,20,0.5,factual,0.4583333333333333,0.9166666666666666,0.6258948478432785,0.8424940813953677,3.2712134942412376,0.9895833333333334,24
DSR1-1.5B,reasoning,20,0.5,math,0.08333333333333333,1.0,0.8152864862080736,0.8925003906091055,3.9350892305374146,0.4973958333333333,24
DSR1-1.5B,reasoning,24,0.01,factual,0.6666666666666666,0.08333333333333333,0.06270148291424887,0.0007985269700583331,2.1292431236167126,2.0234375,24
DSR1-1.5B,reasoning,24,0.01,math,0.0,0.041666666666666664,0.005376344086021505,0.0009721989420844087,3.0984002351760864,0.390625,24
DSR1-1.5B,reasoning,24,0.1,factual,0.75,0.5833333333333334,0.34590395945939845,0.036955500223484705,2.2019823386411495,2.0130208333333335,24
DSR1-1.5B,reasoning,24,0.1,math,0.0,0.7916666666666666,0.487635130705457,0.06108591294226547,3.299545814593633,0.3958333333333333,24
DSR1-1.5B,reasoning,24,0.5,factual,0.6666666666666666,0.9166666666666666,0.5185580839931573,0.7577470995408172,2.970310098181168,1.5026041666666667,24
DSR1-1.5B,reasoning,24,0.5,math,0.08333333333333333,1.0,0.8337788759937883,1.523744781812032,3.9001309176286063,0.6744791666666666,24
