model,paradigm,layer,layer_frac,d_model,PR,PR_over_d,effective_rank,ER_over_d,anisotropy
Mamba-790M,ssm,24,0.5,1536,11.734464236530467,0.007639625153991189,13.183212037343358,0.008582820336812081,0.8406301201056506
Mamba-790M,ssm,25,0.5208333333333334,1536,11.850025607385538,0.00771486042147496,13.25621912213049,0.008630350990970372,0.8439415023764733
Mamba-790M,ssm,26,0.5416666666666666,1536,11.857687108558796,0.0077198483779679665,13.26782899300077,0.008637909500651542,0.8467793236898752
Mamba-790M,ssm,27,0.5625,1536,11.729698757300122,0.0076365226284506,13.184371483764057,0.008583575184742225,0.8476091084711278
Mamba-790M,ssm,28,0.5833333333333334,1536,11.868754475782529,0.007727053695170918,13.264763096929055,0.008635913474563188,0.8420183851867301
Mamba-790M,ssm,29,0.6041666666666666,1536,11.874549019498314,0.007730826184569215,13.271139390356053,0.008640064707263055,0.8502183811187021
Mamba-790M,ssm,30,0.625,1536,11.754621106570823,0.0076527481162570465,13.18841262173419,0.00858620613394153,0.8516555735314633
Mamba-790M,ssm,31,0.6458333333333334,1536,11.591544450374185,0.00754657841821236,13.09141236275203,0.008523054923666685,0.8496102702363264
Mamba-790M,ssm,32,0.6666666666666666,1536,11.600475955251229,0.007552393200033352,13.103185079099397,0.00853071945253867,0.8632991554627937
Mamba-790M,ssm,33,0.6875,1536,11.07060337015692,0.007207424069112578,12.804117623902009,0.008336014078061204,0.8775458096955269
Mamba-790M,ssm,34,0.7083333333333334,1536,10.784750078432179,0.0070213216656459495,12.609655291695109,0.008209410997197337,0.8750327950806697
Mamba-790M,ssm,35,0.7291666666666666,1536,10.853266853040086,0.007065928940781306,12.691972873797061,0.008263003173044962,0.8669194863182024
Mamba-790M,ssm,36,0.75,1536,10.828629168722358,0.0070498887817202855,12.639173677913162,0.008228628696558047,0.8424125225857443
Mamba-790M,ssm,37,0.7708333333333334,1536,10.124046283923322,0.006591175966095913,12.28618769391543,0.00799882011322619,0.8553242632538445
Mamba-790M,ssm,38,0.7916666666666666,1536,8.829558920797854,0.00574841075572777,11.533039202635454,0.00750848906421579,0.8622777604076813
Mamba-790M,ssm,39,0.8125,1536,8.322540261629875,0.00541832048283195,11.281259453461137,0.007344569956680428,0.861890917698063
Mamba-790M,ssm,40,0.8333333333333334,1536,8.186324271896655,0.005329638197849385,11.16623599180581,0.0072696848904985735,0.8617884388666688
Mamba-790M,ssm,41,0.8541666666666666,1536,8.290992735803465,0.005397781729038715,11.249184346963336,0.0073236877258875885,0.8640218216869099
Mamba-790M,ssm,42,0.875,1536,8.240885957531994,0.005365160128601558,11.188063765796365,0.007283895680857008,0.8692096163719394
Mamba-790M,ssm,43,0.8958333333333334,1536,8.178811087860042,0.005324746801992215,11.151913201605012,0.00726036015729493,0.8837128309925962
Mamba-790M,ssm,44,0.9166666666666666,1536,8.192162144630093,0.00533343889624355,11.141081350905328,0.007253308171162323,0.8918199854480146
Mamba-790M,ssm,45,0.9375,1536,8.006528470888734,0.00521258363990152,10.960128353021501,0.007135500229831706,0.8958063557194303
Mamba-790M,ssm,46,0.9583333333333334,1536,7.827343599354916,0.00509592682249669,10.346599542519028,0.006736067410494159,0.8739231762577266
Mamba-790M,ssm,47,0.9791666666666666,1536,4.683218733191749,0.0030489705294217116,7.257296460881805,0.004724802383386592,0.2354490816119007
Mamba-1.4B,ssm,2,0.041666666666666664,2048,12.399583967510425,0.00605448435913595,13.612835302375599,0.006646892237488085,0.4000325620063017
Mamba-1.4B,ssm,3,0.0625,2048,12.4690120366728,0.00608838478353164,13.64758751163591,0.006663861089665972,0.4124349991974005
Mamba-1.4B,ssm,4,0.08333333333333333,2048,12.52037297962892,0.006113463368959434,13.675636869244807,0.006677557065060941,0.4208564062466238
Mamba-1.4B,ssm,5,0.10416666666666667,2048,12.538266179581234,0.006122200282998649,13.67656373838089,0.006678009637881294,0.42059220283289556
Mamba-1.4B,ssm,6,0.125,2048,12.565345863460804,0.006135422784892971,13.674268902796415,0.006676889112693562,0.42375359120099154
Mamba-1.4B,ssm,7,0.14583333333333334,2048,12.480284967217074,0.006093889144148962,13.609700535014106,0.0066453615893623565,0.41500573046869543
Mamba-1.4B,ssm,8,0.16666666666666666,2048,12.559870519358661,0.006132749277030596,13.648106498681317,0.006664114501309237,0.41376802526666495
Mamba-1.4B,ssm,9,0.1875,2048,12.563696855586857,0.00613461760526702,13.650823989918784,0.006665441401327531,0.4275910815331043
Mamba-1.4B,ssm,10,0.20833333333333334,2048,12.307895405929786,0.006009714553676653,13.511031300577192,0.006597183252234957,0.4408345310905686
Mamba-1.4B,ssm,11,0.22916666666666666,2048,12.052857260406883,0.005885184209183048,13.38932317674526,0.006537755457395146,0.45689480029478774
Mamba-1.4B,ssm,12,0.25,2048,11.914052644042508,0.005817408517598881,13.329550977330209,0.006508569813149516,0.44218611563731364
Mamba-1.4B,ssm,13,0.2708333333333333,2048,12.249097875639038,0.005981004822089374,13.49431050295538,0.006589018800271181,0.44276218128383865
Mamba-1.4B,ssm,14,0.2916666666666667,2048,12.206954652216567,0.00596042707627762,13.47328029816324,0.00657875014558752,0.4459413684613887
Mamba-1.4B,ssm,15,0.3125,2048,12.340270296328407,0.006025522605629105,13.517315719606527,0.006600251816214125,0.4362088687782767
Mamba-1.4B,ssm,16,0.3333333333333333,2048,12.349755942918671,0.006030154269003257,13.512099162683173,0.006597704669278893,0.44216926656163147
Mamba-1.4B,ssm,17,0.3541666666666667,2048,12.566532419758175,0.0061360021580850466,13.639688670293072,0.006660004233541539,0.42378299086631216
Mamba-1.4B,ssm,18,0.375,2048,12.735846983167324,0.00621867528474967,13.748595037553567,0.006713181170680453,0.42150254156768807
Mamba-1.4B,ssm,19,0.3958333333333333,2048,12.28953350628506,0.006000748782365752,13.512564024172171,0.006597931652427818,0.41390610104401554
Mamba-1.4B,ssm,20,0.4166666666666667,2048,12.202390408466256,0.005958198441633914,13.489030636198546,0.006586440740331321,0.4227496235087834
Mamba-1.4B,ssm,21,0.4375,2048,12.327333812951272,0.006019205963355113,13.56301914713297,0.00662256794293602,0.44758461818081846
Mamba-1.4B,ssm,22,0.4583333333333333,2048,12.384601845100459,0.0060471688696779585,13.585903615453816,0.006633741999733309,0.44636559715458046
Mamba-1.4B,ssm,23,0.4791666666666667,2048,12.338823707131855,0.006024816263247976,13.565202543516358,0.006623634054451347,0.444500114791986
Mamba-1.4B,ssm,24,0.5,2048,12.41276527773234,0.006060920545767744,13.606110929301533,0.006643608852198014,0.4515740443835881
Mamba-1.4B,ssm,25,0.5208333333333334,2048,12.55292102475463,0.006129355969118472,13.682053648094884,0.00668069025785883,0.4685444494210763
Mamba-1.4B,ssm,26,0.5416666666666666,2048,12.409871574588752,0.006059507604779664,13.600176286205658,0.006640711077248856,0.5148301627425289
Mamba-1.4B,ssm,27,0.5625,2048,12.361554522306358,0.006035915294094901,13.579423791076472,0.006630578022986559,0.5344174730501969
Mamba-1.4B,ssm,28,0.5833333333333334,2048,12.35950547987347,0.0060349147850944675,13.572873315634158,0.006627379548649491,0.5492195774644261
Mamba-1.4B,ssm,29,0.6041666666666666,2048,12.33972749683379,0.006025257566813374,13.566455568758167,0.006624245883182699,0.5488085663082231
Mamba-1.4B,ssm,30,0.625,2048,12.0824348609948,0.005899626396970117,13.422829677877475,0.006554116053651111,0.5786330440577925
Mamba-1.4B,ssm,31,0.6458333333333334,2048,11.600990859699943,0.005664546318212863,13.183268069611406,0.0064371426121149445,0.579461223811674
Mamba-1.4B,ssm,32,0.6666666666666666,2048,11.772921350061273,0.005748496752959606,13.265555808262567,0.006477322172003207,0.532946751470731
Mamba-1.4B,ssm,33,0.6875,2048,11.654062214342035,0.005690460065596697,13.209081822352184,0.006449746983570402,0.5186700382140277
