model_id,org,inferred_paradigm,arch_key,release_date,release_month,downloads,log10_downloads,adoption_residual,log10_params,param_b,recency_months,support_score,measured_tax,support_score_at_release,support_gain_after_release,frameworks_supported_at_release,first_shock_date,post_first_shock_release,months_from_first_shock,imbalance_weight
Zyphra/Zamba2-7B-Instruct,Zyphra,hybrid,zamba2,2024-10-10,2024-10-01,10925.0,4.038461196178564,-0.3104617394379545,9.866685977145924,7.356749648,14.487516425755585,0.525,0.475,0.0,0.525,0,2025-01-15,0.0,-3.1865965834428382,0.6542775615054915
allenai/OLMoE-1B-7B-0924,allenai,transformer,olmoe,2024-07-20,2024-07-01,21439.0,4.331224781020732,0.10490332767218025,9.840053489925,6.919161856,17.181340341655716,0.625,0.375,0.0,0.625,0,2024-10-01,0.0,-2.3981603153745072,0.9789719640111957
allenai/Olmo-3-7B,allenai,transformer,olmo2,,,,,,,,,0.8,0.19999999999999996,0.0,0.8,0,2024-11-01,0.0,,0.5652097269509605
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,deepseek-ai,reasoning,deepseek_r1,2025-01-20,2025-01-01,493205.0,5.693028351279414,1.1904131718863917,9.904729674384436,8.030261248,11.136662286465176,1.0,0.0,1.0,0.0,6,2025-01-20,1.0,0.0,1.1332419787797823
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,deepseek-ai,reasoning,deepseek_r1,2025-01-20,2025-01-01,717189.0,5.855634225431283,1.3585835741935055,9.88170506682134,7.615616512,11.136662286465176,1.0,0.0,1.0,0.0,6,2025-01-20,1.0,0.0,1.1332419787797823
google/gemma-3-4b-it,google,transformer,gemma3,2025-02-20,2025-02-01,1178782.0,6.071433863978507,1.5904584202711387,9.63347648207543,4.300079472,10.11826544021025,0.9,0.09999999999999998,0.0,0.9,0,2025-03-12,0.0,-0.657030223390276,0.48948598200559784
ibm-granite/granite-3.1-8b-instruct,ibm-granite,transformer,granite,2024-12-06,2024-12-01,97035.0,4.986932885820884,0.5462451612184411,9.912267145122016,8.170848256,12.614980289093298,0.9,0.09999999999999998,1.0,-0.09999999999999998,5,2024-10-21,1.0,1.5111695137976346,0.399663630719621
ibm-granite/granite-3.2-8b-instruct,ibm-granite,transformer,granite,2025-02-17,2025-02-01,10598.0,4.025264892154508,-0.51883802516942,9.912267145122016,8.170848256,10.21681997371879,0.9,0.09999999999999998,1.0,-0.09999999999999998,5,2024-10-21,1.0,3.9093298291721417,0.399663630719621
ibm-granite/granite-4.0-h-tiny,ibm-granite,hybrid,granite_hybrid,2025-09-16,2025-09-01,23075.0,4.3631605302861045,-0.4627034468051745,9.841299218742256,6.939037248,3.2851511169513796,0.4,0.6,0.0,0.4,0,2025-10-01,0.0,-0.49277266754270693,0.8013230879204457
ibm-granite/granite-4.0-micro,ibm-granite,hybrid,granite,2025-09-16,2025-09-01,59036.0,4.77112428044526,0.020049353338603026,9.53184107999797,3.40283648,3.2851511169513796,0.9,0.09999999999999998,1.0,-0.09999999999999998,5,2024-10-21,1.0,10.840998685939553,0.6542775615054915
ibm-granite/granite-4.0-tiny-preview,ibm-granite,hybrid,granite,2025-04-30,2025-04-01,26137.0,4.417272353627316,-0.20755157084469733,9.824226079650455,6.671539776,7.851511169513797,0.9,0.09999999999999998,1.0,-0.09999999999999998,5,2024-10-21,1.0,6.274638633377135,0.6542775615054915
internlm/internlm2_5-7b-chat,internlm,transformer,internlm,2024-06-27,2024-06-01,26152.0,4.417521513804297,0.21204734438275175,9.888612367138084,7.737708544,17.936925098554532,0.9500000000000001,0.04999999999999993,0.95,1.1102230246251565e-16,6,2023-07-06,1.0,11.727989487516425,0.6922377143438292
internlm/internlm3-8b-instruct,internlm,transformer,internlm,2025-01-13,2025-01-01,8816.0,3.945320840792275,-0.5570357917504682,9.944691942187184,8.804241408,11.366622864651774,0.9500000000000001,0.04999999999999993,0.95,1.1102230246251565e-16,6,2023-07-06,1.0,18.298291721419183,0.6922377143438292
meta-llama/Llama-3.1-8B-Instruct,meta-llama,transformer,llama,2024-07-18,2024-07-01,5837840.0,6.7662522623267165,2.527133327402133,9.904729674384436,8.030261248,17.24704336399474,1.0,0.0,1.0,0.0,6,2023-03-01,1.0,16.590013140604466,0.48948598200559784
meta-llama/Llama-3.2-3B-Instruct,meta-llama,transformer,llama,2024-09-18,2024-09-01,2210460.0,6.344482856887579,2.1136838774414777,9.506876908468895,3.212749824,15.210249671484888,1.0,0.0,1.0,0.0,6,2023-03-01,1.0,18.626806833114323,0.48948598200559784
microsoft/Phi-4-mini-instruct,microsoft,transformer,phi3,2025-02-19,2025-02-01,212939.0,5.328257249731236,0.8606845465204911,9.58388106205992,3.83602176,10.151116951379763,1.0,0.0,1.0,0.0,6,2024-04-23,1.0,9.921156373193167,0.6922377143438292
microsoft/Phi-4-mini-reasoning,microsoft,reasoning,phi3,2025-04-29,2025-04-01,9680.0,3.9859202201235675,-0.5794010899061153,9.58388106205992,3.83602176,7.884362680683311,1.0,0.0,1.0,0.0,6,2024-04-23,1.0,12.187910643889618,1.791812896530157
mistralai/Ministral-8B-Instruct-2410,mistralai,transformer,mistral,2024-10-15,2024-10-01,111051.0,5.0455263844166165,0.680462627533795,9.904163984947928,8.019808256,14.323258869908015,1.0,0.0,1.0,0.0,6,2023-09-27,1.0,12.614980289093298,0.48948598200559784
nvidia/Nemotron-H-4B-Instruct-128K,nvidia,hybrid,nemotron_h,2025-04-15,2025-04-01,28485.0,4.454631469952393,-0.10736097089645469,9.652171183177307,4.48922304,8.344283837056505,0.725,0.275,0.9062499999999999,-0.1812499999999999,4,2025-03-18,1.0,0.9198423127463863,1.6026461758408914
tiiuae/Falcon-H1-3B-Instruct,tiiuae,hybrid,falcon_h1,2025-05-01,2025-05-01,2626.0,3.4194600727860704,-1.1279938210855436,9.498226772922923,3.149392384,7.818659658344283,0.725,0.275,0.0,0.725,0,2025-05-20,0.0,-0.6241787122207622,0.6542775615054915
tiiuae/Falcon-H1-7B-Instruct,tiiuae,hybrid,falcon_h1,2025-05-01,2025-05-01,3542.0,3.549371152333177,-1.0903470443510983,9.879993079980121,7.58565488,7.818659658344283,0.725,0.275,0.0,0.725,0,2025-05-20,0.0,-0.6241787122207622,0.6542775615054915
tiiuae/Falcon3-3B-Instruct,tiiuae,transformer,falcon3,2024-12-14,2024-12-01,5876.0,3.7691556907143986,-0.5853773572867031,9.508887129942735,3.227655168,12.352168199737187,1.0,0.0,1.0,0.0,6,2024-12-12,1.0,0.0657030223390276,0.48948598200559784
tiiuae/Falcon3-7B-Instruct,tiiuae,transformer,falcon3,2024-11-29,2024-11-01,13474.0,4.129528773858777,-0.2916267010500251,9.872479714140738,7.455550464,12.844940867279893,1.0,0.0,0.0,1.0,0,2024-12-12,0.0,-0.42706964520367935,0.48948598200559784
tiiuae/falcon-mamba-7b,tiiuae,ssm,falcon_mamba,2024-07-17,2024-07-01,7334.0,3.8654001181793016,-0.36190131929533953,9.861693588426306,7.272665088,17.279894875164256,0.525,0.475,0.0,0.525,0,2024-08-12,0.0,-0.8541392904073587,1.5143582931798893
tiiuae/falcon-mamba-7b-instruct,tiiuae,ssm,falcon_mamba,2024-07-30,2024-07-01,6617.0,3.8207267628238344,-0.42499107883408493,9.861693588426306,7.272665088,16.852825229960576,0.525,0.475,0.0,0.525,0,2024-08-12,0.0,-0.42706964520367935,1.5143582931798893
togethercomputer/StripedHyena-Hessian-7B,togethercomputer,hybrid,stripedhyena,2023-11-21,2023-11-01,374.0,2.574031267727719,-1.3199462391250263,9.883435696873377,7.646024704,25.131406044678055,0.075,0.925,0.0,0.075,0,2024-01-01,0.0,-1.3469119579500657,1.1332419787797823
togethercomputer/StripedHyena-Nous-7B,togethercomputer,hybrid,stripedhyena,2023-12-04,2023-12-01,56.0,1.7558748556724915,-2.156519055363532,9.883435696873377,7.646024704,24.704336399474375,0.075,0.925,0.0,0.075,0,2024-01-01,0.0,-0.9198423127463863,1.1332419787797823
CohereForAI/aya-expanse-32b,CohereForAI,transformer,cohere,2024-10-23,2024-10-01,5533.0,3.7430391548049333,-0.779570487470743,10.509155146313441,32.296476672,14.060446780551905,0.9500000000000001,0.04999999999999993,0.9500000000000001,0.0,6,2024-04-04,1.0,6.636005256241787,0.48948598200559784
CohereForAI/c4ai-command-r-08-2024,CohereForAI,transformer,cohere,2024-08-19,2024-08-01,2143.0,3.3312247810207323,-1.099302900929013,10.509155397021408,32.296495316,16.1957950065703,0.9500000000000001,0.04999999999999993,0.9500000000000001,0.0,6,2024-04-04,1.0,4.50065703022339,0.48948598200559784
Qwen/QwQ-32B,Qwen,reasoning,qwq,2025-03-05,2025-03-01,67446.0,4.828962637293008,0.11643091465568212,10.515395278274339,32.763876352,9.69119579500657,1.0,0.0,1.0,0.0,6,2024-12-01,1.0,3.088042049934297,1.791812896530157
Qwen/QwQ-32B-Preview,Qwen,transformer,qwq,2024-11-27,2024-11-01,6887.0,3.8380931384455983,-0.7356072295793239,10.515395278274339,32.763876352,12.910643889618921,1.0,0.0,0.0,1.0,0,2024-12-01,0.0,-0.1314060446780552,0.6922377143438292
Qwen/Qwen2.5-14B,Qwen,transformer,qwen2,2024-09-15,2024-09-01,83679.0,4.922621671523199,0.5359602230783214,10.169381485161155,14.770033664,15.308804204993429,1.0,0.0,1.0,0.0,6,2024-06-07,1.0,3.2851511169513796,0.30957811717237665
Qwen/Qwen2.5-32B,Qwen,transformer,qwen2,2024-09-15,2024-09-01,105547.0,5.023450008395043,0.5531648330916052,10.515395278274339,32.763876352,15.308804204993429,1.0,0.0,1.0,0.0,6,2024-06-07,1.0,3.2851511169513796,0.30957811717237665
