model_a,paradigm_a,model_b,paradigm_b,layer,layer_frac,cka,rdi
DSR1-1.5B,reasoning,Gemma2-2B,transformer,24,0.9230769230769231,0.8894669437969668,0.11053305620303322
DSR1-1.5B,reasoning,Gemma2-2B,transformer,25,0.9615384615384616,0.8388106715703693,0.16118932842963074
DSR1-1.5B,reasoning,Gemma2-2B,transformer,26,1.0,0.4660905760157686,0.5339094239842315
DSR1-1.5B,reasoning,FalconH1-1.5B,hybrid,0,0.0,0.7799103677163005,0.2200896322836995
DSR1-1.5B,reasoning,FalconH1-1.5B,hybrid,1,0.041666666666666664,0.9387711575427701,0.061228842457229926
DSR1-1.5B,reasoning,FalconH1-1.5B,hybrid,2,0.08333333333333333,0.3858052529955097,0.6141947470044903
DSR1-1.5B,reasoning,FalconH1-1.5B,hybrid,3,0.125,0.3684063422515265,0.6315936577484735
DSR1-1.5B,reasoning,FalconH1-1.5B,hybrid,4,0.16666666666666666,0.7164803689483664,0.2835196310516336
DSR1-1.5B,reasoning,FalconH1-1.5B,hybrid,5,0.20833333333333334,0.7153642361774062,0.2846357638225938
DSR1-1.5B,reasoning,FalconH1-1.5B,hybrid,6,0.25,0.7152322081938425,0.2847677918061575
DSR1-1.5B,reasoning,FalconH1-1.5B,hybrid,7,0.2916666666666667,0.7150020443572532,0.28499795564274677
DSR1-1.5B,reasoning,FalconH1-1.5B,hybrid,8,0.3333333333333333,0.7158527194318801,0.2841472805681199
DSR1-1.5B,reasoning,FalconH1-1.5B,hybrid,9,0.375,0.7105541891013005,0.2894458108986995
DSR1-1.5B,reasoning,FalconH1-1.5B,hybrid,10,0.4166666666666667,0.7123095009450195,0.28769049905498045
DSR1-1.5B,reasoning,FalconH1-1.5B,hybrid,11,0.4583333333333333,0.7111709032492175,0.2888290967507825
DSR1-1.5B,reasoning,FalconH1-1.5B,hybrid,12,0.5,0.7089130855994581,0.2910869144005419
DSR1-1.5B,reasoning,FalconH1-1.5B,hybrid,13,0.5416666666666666,0.7044928238326161,0.29550717616738387
DSR1-1.5B,reasoning,FalconH1-1.5B,hybrid,14,0.5833333333333334,0.706074642526753,0.293925357473247
DSR1-1.5B,reasoning,FalconH1-1.5B,hybrid,15,0.625,0.7081727050636393,0.2918272949363607
DSR1-1.5B,reasoning,FalconH1-1.5B,hybrid,16,0.6666666666666666,0.7148357428551885,0.28516425714481153
DSR1-1.5B,reasoning,FalconH1-1.5B,hybrid,17,0.7083333333333334,0.7084876096017185,0.2915123903982815
DSR1-1.5B,reasoning,FalconH1-1.5B,hybrid,18,0.75,0.6892958761664746,0.3107041238335254
DSR1-1.5B,reasoning,FalconH1-1.5B,hybrid,19,0.7916666666666666,0.6778862081289588,0.32211379187104117
DSR1-1.5B,reasoning,FalconH1-1.5B,hybrid,20,0.8333333333333334,0.6652592146798905,0.33474078532010954
DSR1-1.5B,reasoning,FalconH1-1.5B,hybrid,21,0.875,0.6629617832546802,0.33703821674531975
DSR1-1.5B,reasoning,FalconH1-1.5B,hybrid,22,0.9166666666666666,0.6228254423217269,0.3771745576782731
DSR1-1.5B,reasoning,FalconH1-1.5B,hybrid,23,0.9583333333333334,0.5805561100635064,0.4194438899364936
DSR1-1.5B,reasoning,FalconH1-1.5B,hybrid,24,1.0,0.7691251361313329,0.23087486386866707
DSR1-1.5B,reasoning,Mamba-1.4B,ssm,0,0.0,0.779356742249759,0.22064325775024096
DSR1-1.5B,reasoning,Mamba-1.4B,ssm,1,0.03571428571428571,0.9185582408611376,0.08144175913886242
DSR1-1.5B,reasoning,Mamba-1.4B,ssm,2,0.07142857142857142,0.3800466200981082,0.6199533799018918
DSR1-1.5B,reasoning,Mamba-1.4B,ssm,3,0.10714285714285714,0.35654770140180364,0.6434522985981963
DSR1-1.5B,reasoning,Mamba-1.4B,ssm,4,0.14285714285714285,0.3487036247576471,0.6512963752423528
DSR1-1.5B,reasoning,Mamba-1.4B,ssm,5,0.17857142857142858,0.34577642416232734,0.6542235758376727
DSR1-1.5B,reasoning,Mamba-1.4B,ssm,6,0.21428571428571427,0.36128011838969154,0.6387198816103085
DSR1-1.5B,reasoning,Mamba-1.4B,ssm,7,0.25,0.34560590612449277,0.6543940938755073
DSR1-1.5B,reasoning,Mamba-1.4B,ssm,8,0.2857142857142857,0.31880794233580223,0.6811920576641978
DSR1-1.5B,reasoning,Mamba-1.4B,ssm,9,0.32142857142857145,0.30448699776823673,0.6955130022317633
