model_id,inferred_paradigm,arch_key,vllm,llamacpp,tgi,gptq,awq,bnb,support_score,measured_tax,frameworks_full,frameworks_partial,frameworks_none,hybridization_score,adoption_residual,log10_downloads,param_b,downloads
mistralai/Ministral-8B-Instruct-2410,transformer,mistral,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,0.680462627533795,5.0455263844166165,8.019808256,111051.0
nvidia/Nemotron-H-4B-Instruct-128K,hybrid,nemotron_h,1.0,1.0,0.0,1.0,0.0,0.5,0.725,0.275,3,1,2,0.9,-0.10736097089645469,4.454631469952393,4.48922304,28485.0
tiiuae/Falcon-H1-3B-Instruct,hybrid,falcon_h1,1.0,1.0,0.0,1.0,0.0,0.5,0.725,0.275,3,1,2,0.9,-1.1279938210855436,3.4194600727860704,3.149392384,2626.0
tiiuae/Falcon-H1-7B-Instruct,hybrid,falcon_h1,1.0,1.0,0.0,1.0,0.0,0.5,0.725,0.275,3,1,2,0.9,-1.0903470443510983,3.549371152333177,7.58565488,3542.0
tiiuae/Falcon3-3B-Instruct,transformer,falcon3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,-0.5853773572867031,3.7691556907143986,3.227655168,5876.0
tiiuae/Falcon3-7B-Instruct,transformer,falcon3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,-0.2916267010500251,4.129528773858777,7.455550464,13474.0
tiiuae/falcon-mamba-7b,ssm,falcon_mamba,1.0,1.0,0.0,0.0,0.0,0.5,0.525,0.475,2,1,3,0.35,-0.36190131929533953,3.8654001181793016,7.272665088,7334.0
tiiuae/falcon-mamba-7b-instruct,ssm,falcon_mamba,1.0,1.0,0.0,0.0,0.0,0.5,0.525,0.475,2,1,3,0.35,-0.42499107883408493,3.8207267628238344,7.272665088,6617.0
togethercomputer/StripedHyena-Hessian-7B,hybrid,stripedhyena,0.0,0.0,0.0,0.0,0.0,0.5,0.075,0.925,0,1,5,0.7,-1.3199462391250263,2.574031267727719,7.646024704,374.0
togethercomputer/StripedHyena-Nous-7B,hybrid,stripedhyena,0.0,0.0,0.0,0.0,0.0,0.5,0.075,0.925,0,1,5,0.7,-2.156519055363532,1.7558748556724915,7.646024704,56.0
CohereForAI/aya-expanse-32b,transformer,cohere,1.0,1.0,1.0,1.0,0.5,1.0,0.9500000000000001,0.04999999999999993,5,1,0,0.0,-0.779570487470743,3.7430391548049333,32.296476672,5533.0
CohereForAI/c4ai-command-r-08-2024,transformer,cohere,1.0,1.0,1.0,1.0,0.5,1.0,0.9500000000000001,0.04999999999999993,5,1,0,0.0,-1.099302900929013,3.3312247810207323,32.296495316,2143.0
Qwen/QwQ-32B,reasoning,qwq,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,0.11643091465568212,4.828962637293008,32.763876352,67446.0
Qwen/QwQ-32B-Preview,transformer,qwq,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,-0.7356072295793239,3.8380931384455983,32.763876352,6887.0
Qwen/Qwen2.5-14B,transformer,qwen2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,0.5359602230783214,4.922621671523199,14.770033664,83679.0
Qwen/Qwen2.5-32B,transformer,qwen2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,0.5531648330916052,5.023450008395043,32.763876352,105547.0
Qwen/Qwen2.5-72B,transformer,qwen2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,-0.11313348993777961,4.440814659957681,72.706203648,27593.0
Qwen/Qwen2.5-72B-Instruct,transformer,qwen2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,0.985718719615611,5.541083515986708,72.706203648,347602.0
Qwen/Qwen2.5-Coder-32B-Instruct,transformer,qwen2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,1.3162458211785122,5.860196613215062,32.763876352,724763.0
